numRep	nbrJoueur	txtJ1	b1J1	b2J1	b3J1	b4J1	didJ1	voixJ1	sonJ1	imageJ1	txtJ2	b1J2	b2J2	b3J2	b4J2	didJ2	voixJ2	sonJ2	imageJ2	txtJ3	b1J3	b2J3	b3J3	b4J3	didJ3	voixJ3	sonJ3	imageJ3	txtJ4	b1J4	b2J4	b3J4	b4J4	didJ4	voixJ4	sonJ4	imageJ4	mc1	mc2	mc3	mc4	mc5	mc6	mc7	mc8	mc9	mc10	mc11
		je vis deux créatures dont l’une disait à l’autre : moi, Adam, toi, Ève.																																														
		La dite Ève m’aperçut à l’instant où je m’apprêtais à les saluer, 																																														
		car l’absence des pattes et des bras n’interdit pas la politesse. 																																														
		Mais, à peine m’avait-elle aperçu qu’Ève me jeta des pierres. 																																														
		« Tuyau d’apocalypse, handicapé de partout, disait-elle,																																														
		nous avons des membres, tu n’en as pas, 																																														
		ça suffit pour faire de toi une créature de seconde zone, 																																														
		reste où tu es ».																																														
		Adam, lui, jouait gaiement avec le membre supplémentaire dont Dieu l’avait pourvu,																																														
		expliquant à Ève que le créateur n’avait pas fait sa jolie bouche pour des prunes. 																																														
		L’air était idyllique et il me semblait que dans ce paradis, il y avait de la place pour tous. 																																														
		Ève ne l’entendait pas ainsi. 																																														
		Ce « sans bras ni jambes » est une insulte à notre race, disait-elle. 																																														
		Elle écrasait de son pied le bout de ma queue, pivotant de droite et de gauche, 																																														
		sachant que ce mouvement donnait une belle cadence à ses seins.																																														
		 Moi, j’en appelais à Dieu. Il nous fit différents, mais égaux, et j’attendais, je l’avoue, un geste de soutien.																																														
		 Dieu pourtant s’en foutait :																																														
		 « écoute, bestiole, ils sont comme ça, ces deux-là, disait-il, 																																														
		un peu cons, faut pas te faire du mauvais sang, ils cognent et puis ça passe, 																																														
		je ne vais tout de même pas remettre en cause la Genèse parce que deux abrutis te crachent dans la gueule ! »																																														
		 Adam avait maintenant une autre idée en tête. 																																														
		Sachant déjà compter jusqu’à trois, 																																														
		parce que le Très-Haut dans sa grande bonté l’avait doté de capacités pas banales, 																																														
		et ayant judicieusement repéré trois orifices chez Ève,																																														
		l’homme se demandait comment d’un seul membre occuper simultanément trois trous, 																																														
		question lancinante qui taraude la moitié mâle de l’humanité depuis les origines et reste toujours sans réponse aujourd’hui. 																																														
		Ève voulait sa collaboration pour me lyncher.																																														
		Adam négociait ferme. Il lui mit le marché dans la main : d’abord on baise, ensuite on lynche.																																														
		Ève était d’avis inverse : d’abord on lynche, ensuite on baise.																																														
		 On le voit, le débat était démocratique. 																																														
		Mais le marché, toujours dans la main d’Ève, commençait à frémir dangereusement. 																																														
		Si bien qu’arriva ce qui devait arriver : Adam explosa sur Ève 																																														
		et je pus ainsi foutre le camp en douce. 																																														
		Le gaspillage de semence mit Dieu dans une colère noire.																																														
		Il chassa Adam et Ève de son paradis.																																														
		Après, ils eurent des enfants. On raconte qu’un des fils a liquidé l’autre. 																																														
		C’est vraiment merdeux comme commencement.																																														
																																																
40	1		GO					Regarde la personne en face de toi et dit :	Bruit d'une salle de restaurant	"GIF de ""SIRI"""																												tentation	intimite	plaisir	succomber	posture						
		JE VOUS ENVIE	GO						""""																																							
			GO					Si elle exquice un sourire, bravo ! Dis à présent sans la lâcher du regard :	""""	GIF qui applaudit																																						
		VOUS toute votre personne n'est que DIGNITÉ	GO						""""																																							
		MOI c'est un costume qui ne me va pas la DIGNITÉ	GO						""""																																							
		ça me serre de partout	GO						""""																																							
		un horrible corset qui donne de la douleur la? ou? on attend le plaisir	GO						""""																																							
			GO					Alors ? Tu as son attention ?	""""	"GIF de ""SIRI"""																																						
			GO					Bravo ! Ça semble bien parti ! Continue :	""""	GIF qui applaudit																																						
		Je ne me moque pas de vos sentiments	GO						""""																																							
		ils sont profonds généreux comme votre intelligence	GO						""""																																							
			GO					Tout se joue maintenant, il faut que tu sois convaiquant !	""""	GIF d'un cœur qui bat																																						
		Pas une seconde je n’oublie les accords qui NOUS ont fait vibrer	GO						""""																																							
		grand dieu non	GO						""""																																							
			GO					C'est la dernière ligne droite, articule bien maintenant :	""""	GIF d'un entraineur qui encourage																																						
		Mais la tentation me fait toujours SUCC-OM-BER	GO						""""																																							
		J'aime beaucoup SUCC-OM-BER	GO						""""																																							
		Dire SUCC-OM-BER me fait déjà? SUCC-OM-BER.	GO						""""																																							
			GO					Tend lui la main. Si elle la prend, bravo !	""""	GIF feux d'artifices																																						
																																																
41	1		GO						Son ambiance 																													masque	mort	deuil	photo	souvenir	vie	poussiere	cycle	recit		
		Une bohémienne m'a dit un jour que je vivrais longtemps,	GO				Circulation dans l'espace																																									
		mais jamais assez vieux pour atteindre le dernier masque.	GO																																													
		Sur le moment, je ne voyais pas ce qu’elle voulait dire.	GO																																													
		Puis, à l’enterrement d’un ami,	GO																																													
		j’ai compris.	GO				Arrêt																																									
			GO					silence																																								
		Même mort, on tient encore un rôle.	GO																																													
			GO					silence																																								
		Dans la mémoire de ceux qui suivront ma dépouille, je serai plus vivant que mon cadavre.	GO																																													
		Et plus tard, 	GO																																													
		celui qui regardera ma photographie, accrochera à mes yeux ouverts les lambeaux de son histoire à lui, 	GO																																													
		il me fera un masque nouveau. 	GO																																													
		Nos masques vivent plus longtemps que nous.	GO				À l'oreille d'une personne 	Chuchotement																																								
																																																
42	1	Entre nous, 																																				chaos	blessure	desillusion	bilan	confession	vide					
		je pense que l'agression de l'autre jour m’a foutu un coup au moral !																																														
		Je me sens écoeuré, fatigué de nous-mêmes. 																																														
		J'essaie de mettre bout à bout tous les actes qui nous composent, 																																														
		j'essaie de faire l'addition de ce que nous pouvons et de ce que nous ne pouvons pas,																																														
		de ce que nous aurions dû faire et que nous n'avons pas fait, 																																														
		et j'arrive à un terrifiant fouillis.																																														
																																																
43	1	Jeannette : 																																				stylé	imitation	corps	tableau	vie						
							Il-elle imite :  																																									
		« Se tenir sur la falaise face à la mer, 																																														
		accepter vent et pluie, 																																														
		bouger le corps pour bien faire voir au grand large qu'on est en vie. » 																																														
							fin de l'imitation																																									
		Ah, c’est quelqu’un Jeannette !																																														
																																																
44	2	Description de la femme qui arrive :														lève toi et marche																						concert	echec	mepris	regard	desillusion	invisible	son				
		C’est une infra note dans le concert de la vie,  																																														
		personne ne l’entend.																																														
		Une oreille absolue n’arriverait pas à la repérer.																																														
		Elle le sait, agite les bras, remue le derrière,																																														
		paraffine ses lèvres, montre ses seins, diminue son nez,																																														
		redresse son menton : 																																														
		inutile, 																																														
		un silence fait plus de bruit.																																														
																																																
45	4		GO				Tu rêves d'être chanteur.se d'opéra. 									Tu t'asseois dans le public.									Tu t'asseois dans le public.									Tu t'asseois dans le public.				musique	concert	reve	prophete	singulier/pluriel						
			GO				C'est ta première répétition publique .									Tu assistes à une répétition de La Flûte enchantée.									Tu assistes à une répétition de la Flûte Enchantée.									Tu assistes à une répétition de La Flûte enchantée.														
			GO				Tu es a Reine de la nuit.																																									
			GO				Tu te places au centre de la scène, telle une diva.																																									
			GO				Tu déclames cette phrase à l'assistance comme pour l'avertir d'une tragédie.																																									
		Le violon sonne dans la nuit. 	GO																																													
			GO				Tu entames un playback avec beaucoup de sérieux, dès que le morceau commence.																																									
			GO						LaReineDeLaNuit																																							
			GO				A la fin du chant, tu adresses cette phrase au public, avec mélancolie. 									Applaudir ou tousser de plus en plus fort.									Tousser de plus en plus fort									Applaudir ou tousser de plus en plus fort.														
		Le rêve passe. 	GO																																													
			GO				Tu chuchotes la dernière phrase puis tombe au sol au ralenti.																																									
		Je suis le rêve.														Se frotter violemment les yeux sous les lunettes.									Chercher à se déboucher l'oreille avec le doigt.					GO				Enlever ses chaussures et partir en catimini.														
																																																
46	1																																					viol	degout	fort/faible	violence	temoignage	survie					
							Une femme s'assoit dans le public. Elle s'adresse aux spectateurs.					GO				Un homme s'assoit dos au public. Il est torse nu. Il est immobile.																																
		C’est quoi, je me dis,	GO																																													
												GO				L'homme commence à se gratter le dos.																																
		Il venait de me renverser, je le sentais contre mon dos,/ soudain, j’ai compris : sa main remontait ma jupe,	GO																																													
												GO				On voit l'os de l'omoplate qui ressort.																																
		c’est pas possible, je pensais, ça ne va pas m’arriver, pas à moi,	GO																																													
												GO				Il se gratte de plus en plus fort.																																
		je ne sais plus si j’ai crié,	GO																																													
		oui probablement, 	GO																																													
		presque certain	GO																																													
		je suis d’une nature fort peureuse.	GO																																													
							Elle s'adresse à l'homme en face d'elle sur le plateau.		début du son.			GO				L'homme arrête de se gratter. Il se retourne pour faire face public./ Il regarde la femme dans les yeux.																																
		Je me souviens de m’être retournée,	GO																																													
		donc maintenant on était face à face,	GO																																													
		lui sur moi, déjà entre mes jambes,	GO																																													
		l’instinct joue énormément dans ces cas-là,	GO																																													
		ma main cherchait quelque chose à agripper /et j’étais suffoquée par la puanteur du type dans mon cou,	GO																																													
		un souffle de dément.   	GO																																													
												GO				L'homme se lève de sa chaise.																																
		Il s’est redressé pour sortir sa bite	GO																																													
		et ma main	GO																																													
		toute seule comme une grande	GO																																													
		a trouvé ce qu’elle cherchait.	GO																																													
									fin  du son			GO				L'homme se dirige vers la fenêtre. Il colle son visage à la fenêtre.																																
		La tête du type s’est recollée à la mienne 	GO																																													
		et il allait me pénétrer	GO																																													
		quand je lui ai planté la fourchette dans l'oreille.	GO																																													
																																																
47	1	Comment dire ? 																																				illusion	musique	mythe	citation	representation	seVanter					
		Je m’améliore. C’est pas encore vraiment ça, mais ça va déjà mieux, 																																														
		c’est mieux, oui, plus fluide, plus coulant, plus aérien. 																																														
		Pas encore triomphal,tu l’as remarqué.  																																														
		J’avance, j’avance.																																														
		(chante) « Hello darkness, my old friend / 																																														
		I’ve come to talk with you again / 																																														
		Avoue que ce début …  																																														
		ce début …																																														
		c’est comme un soleil qui se lève, voilà, 																																														
		peux pas dire ça mieux que ça, ce que ça me fait, là profond,																																														
		tout profond, 																																														
		c’est paradoxal, c’est sûr, vu que le texte salue l’obscurité, mais bon,																																														
		c’est comme ça, parfois on dit un truc et ça t’évoque le truc contraire. 																																														
		« Hello darkness, my old friend / 																																														
		I’ve come to talk with you again /																																														
		 Because a vision softly creeping / 																																														
		Left its seeds while I was sleeping / 																																														
		Je suis encore très loin de la réussite,																																														
		je dois travailler, travailler, la ligne mélodique est encore médiocre. 																																														
		Je dois m’améliorer, si je veux que Juliette m’écoute jusqu’au bout, 																																														
		qu’elle n’arrête pas après le premier couplet en disant « Simon et Garfunkel, c’est quand même mieux… » 																																														
		enfin tu vois ce que je veux dire, je voudrais tellement que face à elle, ça chante comme dans ma tête, 																																														
		parce que dans ma tête, c’est parfait tu vois,																																														
		je colle complètement avec Simon et Garfunkel, je suis Simon et Garfunkel à moi tout seul,																																														
		c’est beau dans ma tête, c’est beau, c’est digne d’elle.																																														
							 (Il chante le premier couplet avec la version de Simon and Garfunkel en fond, s’arrête brusquement).		Simon and Garfunkel																																							
		Tu vois, c’est mythique. 																																														
		C’est comme ça que je voudrais qu’elle pense à moi. 																																														
		Comme à quelqu’un de mythique.																																														
																																																
48	2	Qui j’aime dans le show-biz ? 																																				illusion	regard	representation	mythe	desir	musique	autorite	anonymat	ecrasement		
		Madonna, Madonna aux mille visages. Je la vénère.																																														
		Une pro jamais la même, toujours une autre : punkette, maîtresse sadomaso,																																														
		mère modèle, militaire en uniforme, dégaine à la Dietrich, pute de luxe ! 																																														
		Mon plus grand désir est de lui ressembler.																																														
											Vous ? Lui ressembler ? 																																					
											Mais vous n’êtes nulle part, pardon de vous le dire.																																					
											Bonne réputation vaut mieux que parfums précieux, le vôtre empeste la débutante.																																					
											Et vous ne ressemblez même pas à votre photo.																																					
											Vous êtes nulle, mademoiselle, 																																					
											ce serait abominable de vous laisser croire le contraire.																																					
																																																
49	4	Je propose Mozart.																																														
											Ah, oui, Mozart.																																					
																				Pourquoi pas Mozart en effet.																												
																													Mozart, toujours Mozart !																			
		Mozart ? Vraiment ?																																														
											Pardon, Mozart c’est Mozart, non ? 																																					
																				Mozart … m’oui, m’oui.																												
																													Mozart, je suis pour.																			
		Le grand, le très grand, le gigantesque, l’immense, l’inouï Mozart.																																														
							Chantant : 									Chantant : 									Chantant : 									Chantant : 														
		 Viva la liberta, la liberta viva. La liberta, viva, viva, viva la liberta, viva la liberta.									 Viva la liberta, la liberta viva. La liberta, viva, viva, viva la liberta, viva la liberta.									 Viva la liberta, la liberta viva. La liberta, viva, viva, viva la liberta, viva la liberta.									 Viva la liberta, la liberta viva. La liberta, viva, viva, viva la liberta, viva la liberta.																			
											Don Giovanni !																																					
																				Vous, Don Giovanni ? C’est grotesque, vous avez tout juste la séduction d’un garçon coiffeur. 																												
																													Quoi qu’il en soit : Mozart ! Mozart ! Mozart																			
									(On frappe trois coups)									(On frappe trois coups)									(On frappe trois coups)									(On frappe trois coups)												
		C’est le commandeur ! C’est le commandeur qui frappe à la porte ! 																																														
											Peut-être la mort qui vient nous chercher !																																					
																				Ne riez pas avec ça.																												
																													Finalement, je propose de choisir un autre musicien.																			
		Oui, Mozart après tout … 																																														
											Quelque chose de plus léger.																																					
																				Voilà !																												
																													Moins métaphysique.																			
		Moins poudré.																																														
											Moins vocalise.																																					
																				Moins tralala.																												
																													Moins bouche en cul de poule.																			
		Mozart, c’est pas toujours ce qu’on dit que c’est. 																																														
											Surfait !																																					
																				Tout de même entre le requiem de Berlioz et le requiem de Verdi, le plus beau est celui de Mozart !																												
																																																
50	1	Le dernier film de Arnold Schwarzenegger lui a rapporté trente millions de dollars.																																				fort/faible	mepris	paternalisme	valeur	marchandage	regard	argent	ecrasement	provocation		
		Faisons un petit calcul. 																																														
		Si je mets le hamburger à 2 dollars 50, 																																														
		je peux soutenir que Monsieur Arnold Schwarzenegger a gagné un hamburger par jour pendant plus de 12 000 ans.																																														
		Visualisez, s’il vous plaît : 																																														
		Arnold Schwarzenegger mange un hamburger par jour depuis l’apparition des mammouths. 																																														
		C’est ça, l’éternité ! 																																														
							tu te lève et tu désigne un joueur																																									
		Vous, mon petit monsieur l’acteur, combien de hamburgers valez-vous ?																																														
																																																
51	1	« La voiture était là, Polo, faut pas me mentir, faut pas dire le contraire, Polo.																																				temoignage	couple	mensonge	angoisse	recit						
		Tu l’avais garée dans l’autre rue, tu pensais que les voisins ne la verraient pas. 																																														
		Ne me mens plus, Polo ne me mens plus. 																																														
		C’est vrai, c’est vrai, j’ai posé des questions aux voisins, je n’ai plus confiance, Polo. 																																														
		Je ne suis pas aussi sotte que tu le crois, 																																														
		et aujourd’hui presque pas saoule du tout, j’espère que tu l’as remarqué. 																																														
		Je sais que tu viens ici quand je n’y suis pas. Je le sais ! et… 																																														
		Je pourrais te tuer, Polo … ».																																														
		Enfin, je ne sais plus. 																																														
		La femme rousse dit quelque chose comme ça, le  sens est correct, 																																														
		j’ai oublié les mots exacts, en tout cas c’est à ce moment-là que … 																																														
		J’ai chaud, passez-moi la bouteille.																																														
																																																
52	1	Redressez la tête. Le dos doit être droit. 					S'adresse à la personne présente sur scène d'un air concerné																															posture	mepris	rigide	fort/faible	paternalisme	education					
		On ne fait pas une déclaration solennelle le dos voûté.					à la fin, un temps																																									
		Redressez le menton.																																														
		Tout part de la colonne vertébrale, la colonne est précieuse.																																														
		La colonne recèle le secret. 																																														
		L’édifice humain est dans la colonne, 																																														
		et ce n’est pas vanité de se tenir droite sur le cheval qui passe et vous mène au succès.					à la fin, un temps																																									
		Ça va ? Ça entre dans votre cervelle ? Pas trop compliqué ? 					d'un ton tout à coup très agacé/à la fin, un temps																																									
		À la vérité, vous ne me semblez pas spécialement dégourdie. 																																														
		Ne prenez pas cet air coupable, s’il vous plaît ! 																																														
		C’est juste un constat et je sais que l’animosité personnelle nous rend médiocres,																																														
		mais je dois quand même dire que vous êtes mal foutue, peu vive, empotée, 																																														
		et probablement très moche au petit déjeuner.																																														
																																																
53	1	Vous voyez, j’affiche une allure particulièrement jeune. 																																				valeur	sophisme	notoriete	façade	hypocrisie	singulier/pluriel	paternalisme	discours			
		C’est indispensable quand on a la charge de présenter les candidats. 																																														
		Au début, je me forçais à une certaine originalité.																																														
		Chaque candidat a sa valeur, je me disais, à toi de nommer cette valeur. 																																														
		Je préparais donc mon speech au plus juste. 																																														
		En fait, tout cela était inutile. 																																														
		La réalité est plus simple. Ces gens-là sont interchangeables, 																																														
		si bien qu’avec un stock de phrases préparées, en variant les associations de mots,																																														
		vous arrivez à un résultat correct. 																																														
		Le plus délicat de mon travail consiste pourtant à leur dire le contraire, et à le faire croire au public. 																																														
		Oh, mes chéris, vous êtes uniques, singuliers,																																														
		profondément vous-mêmes, si vrais, si vrais, oh mon dieu,																																														
		vous êtes si vrais que j’en ai les larmes aux yeux, 																																														
		on vous aime, on vous aime, tous ici nous vous aimons.																																														
																																																
54	1	Photo N° 30 : 	GO																																			chute	tableau	desir	education	prophete	mythe	recit	famille	mort	tentation	ecrasement
		La chute d’Icare. 	GO																																													
			GO							"Photo du tableau ""La Chute d'Icare"" de Gruber"																																						
		J’ai neuf ans à peine.	GO																																													
			GO				Marchez lentement dans l'espace / tout en continuant vos répliques   																																									
		Ce matin d’anniversaire, / nous marchons dans une aube d’automne / aux feuilles de marronniers jaunies. 	GO																																													
			GO						Une ambiance de foret																																							
		Mon papa s’arrête,	GO																																													
			GO				Arrêtez-vous																																									
		me prend par la main,	GO																																													
		me serre contre lui.	GO																																													
			GO				Regardez vers le plafond / comme si vous regardiez / quelqu'un de plus grand que vous																																									
			GO				Puis regardez les autres joueurs																																									
			GO				Jouez l'étonnement																																									
		C’est un comportement exceptionnel !	GO																																													
			GO				Reprenez votre sérieux																																									
		Habituellement, l’homme est	GO																																													
		peu sentimental,	GO																																													
		très pudique.	GO																																													
			GO				Un silence																																									
		Donc, moi, 	GO																																													
			GO				Eteingnez votre père imaginaire / et posez votre tête contre son torse imaginaire																																									
		tête contre sa poitrine.	GO																																													
		Et lui	GO				Regardez vers le bas / comme si vous regardiez un enfant																																									
			GO																																													
		qui dit : 	GO				Prenez la voix de ce que vous imaginez être le père																																									
			GO																																													
		je dois te parler / de la souffrance infinie de l’homme / qui marche et ne peut pas voler . 	GO																																													
			GO				Prendre la voix d'un.e enfant																																									
		Voler ?	GO																																													
		Voler comme les oiseaux ?	GO																																													
			GO				Hochez la tête																																									
			GO				Reprenez la voix du narrateur																																									
		Il fait oui de la tête. 	GO																																													
		Dit encore que	GO																																													
			GO				Reprenez la voix du père																																									
		Le plus grand tourment de l’homme / est de n’avoir que deux petits bras / pour saisir l’univers.	GO																																													
		Regarde !	GO																																													
			GO				Sortez de votre poche une carte postale imaginaire																																									
			GO				Montrez là aux autres joueurs																																									
			GO				Reprenez la voix du narrateur																																									
		Sort de sa poche	GO																																													
			GO				brandissez bien haut votre carte postale imaginaire																																									
		une carte postale.	GO																																													
		Le peintre Bruegel a peint ce tableau :	GO																																													
		La chute d’Icare.	GO																																													
		Dit soudain : 	GO																																													
			GO				Reprenez la voix du père																																									
		Icare,	GO																																													
		c’est moi. 	GO																																													
		Je souffre d’exiguïté.	GO																																													
		Je suis enfermé 	GO																																													
		dans une 	GO																																													
		boîte.	GO																																													
		Je veux l’envol,	GO																																													
		je veux me voir voler,	GO																																													
		voir la boîte où je suis enfermé,  	GO																																													
		voir	GO																																													
		dans quel univers cette boîte m’enferme.	GO																																													
			GO				Regardez votre père imaginaire et jouez l'étonnement / vous ne comprenez pas ce qu'il raconte																																									
			GO				Prenez la voix du père et prenez un ton explicatif																																									
		L’aigle bat joyeusement des ailes	GO																																													
		parce qu’il saisit l’ensemble et le détail / d’un même coup d’oeil. 	GO																																													
		Je l’envie. 	GO																																													
			GO				Regardez votre père / vous ne comprenez toujours pas																																									
			GO				Prenez la voix du père et continuez d'expliquer      																																									
		Prends le monde	GO																																													
		et,	GO																																													
		devant lui,	GO																																													
		pose un trou de serrure,	GO																																													
			GO				Un silence																																									
		que vois-tu ?	GO																																													
			GO				Hochez la tête en regardant en l'air / Vous ne comprenez toujours pas 																																									
			GO				Reprenez la voix du père																																									
		La portion du monde qui correspond au trou de serrure. 	GO																																													
			GO				Faites un rond avec votre main / et mettez le devant votre œil / comme si vous regardiez à travers																																									
		Celui qui se fixe au sol est un trou de serrure. 	GO																																													
			GO				Un silence																																									
		Du monde, il sait ce que savent les trous de serrure.	GO																																													
			GO				Un silence / Regardez les autres joueurs																																									
		Icare a volé vers le ciel parce qu’il refusait d’être un trou de serrure.	GO																																													
			GO				Vous comprenez enfin : regardez les autres joueurs / tout sourire / en hochant la tête																																									
			GO				Reprenez votre déplacement dans l'espace / vous êtes de nouveau le narrateur																																									
			GO				Asseyez vous sur la table en regardant au loin / comme devant une toile / sur le banc d'un musée																																									
		Plus tard,	GO																																													
		on s’est rendu au musée	GO																																													
			GO						Une ambiance de musée																																							
		pour voir la toile 	GO																																													
			GO				Pointez la toile du doigt / vous êtes heureux.se de la voir enfin 																																									
		en vrai. 	GO																																													
			GO				Jouez la déception																																									
		Dans le tableau de Bruegel,	GO																																													
		Icare est presque ignoré,	GO																																													
		comme vous le voyez.	GO																																													
			GO							Photo zoomée d'Icare																																						
		Ces jambes qui sortent de l’eau :	GO																																													
